ID,Process_Step,Component,Function,Failure_Mode,Effect,Severity,Cause,Occurrence,Current_Control,Detection
1,Prepreg Layup,Prepreg Ply,Provide correct fiber orientation per laminate schedule,Ply misalignment (>±2°),Reduced structural stiffness and strength — potential delamination under load,8,Operator error during manual layup — poor template visibility,4,Layup template + visual inspection after each ply,5
2,Prepreg Layup,Prepreg Ply,Maintain correct ply count per laminate schedule,Wrong ply count (under or over),Laminate thickness deviation — non-compliance with drawing — part rejection,7,Operator counting error — no automated ply tracking,3,Build book sign-off per ply,4
3,Prepreg Layup,Prepreg Material,Maintain cold chain integrity prior to layup,Out-of-life prepreg used (exceeded out-time),Inadequate cure — voids — reduced interlaminar shear strength,8,Material out-time tracking failure — label not updated,2,Material control log + out-time tracking sheet,5
4,Prepreg Layup,Release Film,Allow clean release of part from tool,Release film omitted on tool surface,Part bonded permanently to tool — tool and part scrapped,9,Operator oversight during tool prep step,2,Pre-layup checklist — tool inspection sign-off,6
5,Vacuum Bagging,Vacuum Bag,Maintain vacuum integrity throughout cure cycle,Bag rupture during autoclave cure,Part exposed to atmosphere — resin bleed-out — void formation,9,Sharp prepreg edges puncture bag — inadequate sealant tape coverage,3,Visual inspection of bag prior to autoclave loading,4
6,Vacuum Bagging,Sealant Tape,Seal vacuum bag perimeter to tool flange,Sealant tape bridging — loss of seal,Vacuum leak — uneven compaction — porosity in cured laminate,7,Tape not pressed firmly into tool radius — cold shop temperature,4,Vacuum hold test (>25 inHg for 5 min before cure),3
7,Vacuum Bagging,Breather Cloth,Allow resin bleed and air evacuation during cure,Breather cloth blocked by bridging bag,Resin starvation — dry spots — porosity in surface ply,6,Insufficient breather coverage over complex contours,3,Visual inspection during bagging layup,6
8,Autoclave Cure,Autoclave Controller,Maintain cure temperature profile per specification,Temperature overshoot during cure ramp,Resin over-cure — matrix microcracking — reduced toughness,8,Controller PID tuning drift — thermocouple calibration error,2,Autoclave data logger + post-cure review,4
9,Autoclave Cure,Autoclave Controller,Maintain cure pressure profile per specification,Pressure loss mid-cycle,Under-compaction — voids — porosity — thickness non-conformance,8,Pressure line fitting leak — valve failure,2,Pressure data logger — in-cycle alarm at ±5 psi deviation,3
10,Autoclave Cure,Thermocouple,Provide accurate part temperature measurement during cure,Thermocouple detachment during pressurization,Undetected temperature excursion — invalid cure record — part quarantine,7,Thermocouple adhesive failure under autoclave pressure,3,Post-cure thermocouple continuity check,5
11,Demolding,Tool,Transfer cured part from tool without damage,Part sticks to tool — forced extraction required,Part edge damage — surface delamination — part rejection,7,Inadequate release agent application — release film failure,3,Release agent application log — pre-cure inspection,5
12,Demolding,Cured Laminate,Maintain structural integrity during demolding,Delamination at ply drop during prying,Internal delamination — non-visible damage — part passes visual but fails NDI,9,Excessive prying force applied at wrong location — operator inexperience,2,NDI (ultrasonic C-scan) after demolding,3
13,Non-Destructive Inspection,Ultrasonic Scanner,Detect subsurface voids and delaminations in cured laminate,Scanner calibration drift — missed defect,Defective part released to service — in-service structural failure risk,10,Reference standard not checked before scan — equipment wear,2,Pre-scan calibration on reference block per ASTM E2375,3
14,Non-Destructive Inspection,Inspection Report,Record and disposition all NDI findings per drawing,NDI finding not dispositioned — part shipped with open discrepancy,Non-conforming part in service — regulatory non-compliance — liability,9,Paperwork oversight — no electronic routing enforcement,2,Quality review gate — inspector sign-off required before ship,3
15,Trim and Drill,Diamond Drill Bit,Drill fastener holes to drawing tolerance (±0.002 in),Hole oversize due to worn drill bit,Fastener installation failure — joint strength reduction — rework or rejection,6,Drill bit not replaced per tool life schedule — no force feedback,4,Hole diameter inspection per sampling plan (CMM or go/no-go gauge),4
